Hsp90ab1	-92.2417601304687
Actb	-75.9811739232725
Eef2	-83.8723078767041
Hsp90aa1	-92.7262437475996
Pkm	-92.8980537708969
Atp5b	-90.7337066014684
Tubb5	-93.4190115004059
Rps3	-90.8631989629553
Nedd4	-91.0505015394428
Ncl	-88.2421021768256
Aldoa	-91.5588547144856
Top2a	-90.5059784444333
Rps4x	-92.3740711600608
Ddb1	-90.8588523541167
Atp5a1	-93.467231153234
Rps5	-92.4837317246096
Rps2	-90.0698084102156
Rps12	-92.8826249491735
Rps20	-84.1501972831249
Rif1	-86.393277201868
Hspa9	-92.4714440817401
Trip12	-85.7049595798
Ctnnb1	-90.9591329338003
Hnrnpu	-88.4543440742573
Msh6	-87.8373226133997
Scd2	-92.6217541974883
Rps9	-90.6418478176433
Ddx5	-90.4294325006071
Hspa4	-76.0942598222317
Usp9x	-90.4095076404066
Prdx1	-85.0852013831887
Slc2a3	-74.1527206519151
Rps11	-93.0703739827398
Ybx1	-89.3799637932948
Dnmt3b	78.7610262464286
Dync1h1	-90.5078841688248
Huwe1	-84.9892611365561
Eif4g1	-88.6613322948273
Hist1h1a	-93.1737460314411
Rps14	-92.5573847635561
Rps18	-89.2348413955304
Prpf8	-93.7839266537062
Hnrnpk	-89.4235336891685
Eif4b	-86.1501877140551
Cltc	-89.9928172081028
Flna	-86.2688868542343
Odc1	-46.4979828646439
Kdm5b	-88.9400000723196
Nsd1	-88.2592466882803
Fkbp4	-87.6316259876892
Fn1	-78.3280759779691
Hist2h2bb	-90.9753773445863
Acly	-90.5913000435595
Parp1	-92.7357473755991
Eif5a	-87.6069902635549
Rps15	-92.667406329239
Cbx5	-88.3324431255577
Chd4	-83.5603672923084
Ldha	-92.2506388327854
Supt16	-91.6791749080137
Cnot1	-92.8018182407372
Usp7	-92.754585842892
Mybbp1a	-87.9032058665528
Paics	-93.3800899178049
Rps27a	-92.0379612242637
Bcat1	-42.8787283052308
Rps26	-92.1037386279449
Hnrnpa2b1	-90.1379917872026
Eno1	-90.2396049973868
Asns	-55.988993568216
Rps15a	-90.9905050900714
Uhrf1	-91.7935723244536
Tpr	-89.2562211460746
Fasn	-93.3793492525899
Sf3b1	-90.1066308645327
Psme4	-88.0977102850496
Xpo1	-89.8502206064409
Pabpc1	-87.6122788523586
Tubb4b	-81.047997276724
Rps25	-93.8441018617733
Snrnp200	-92.4820896115428
Rps23	-93.1694174698092
Srsf1	-87.9914377714523
Hsp90b1	-91.3790172511602
Sf3b3	-91.8461527492746
Mcm3	-88.0014376680978
Tkt	-93.839717297084
Ddx21	-72.7380061878977
Cdh1	-89.2111769875708
Iqgap1	-92.3875557279634
Mcm6	-85.5583410018208
Cdk4	-93.1848462794919
Tnks2	-93.8787458913449
Rps7	-91.6181775782928
Mcm5	-86.5895379946788
Eif2s2	-83.0384169827109
Sptbn1	-83.2926591534318
Hspa5	-85.7663505375192
Ptbp1	-91.0296040995261
Eif4a2	-91.8692298298961
Ctnna1	-89.5948966913666
Etf1	-85.6086347418161
Rbbp4	-90.6270966384667
Mcm2	-89.6553599616622
Ranbp2	-85.8306589680419
Hist1h1d	-88.7702266657511
Dnmt1	-86.808160313689
Gart	-80.2026017701676
